"id","code","name","account_type","reconcile","tag_ids","tax_ids"
"by_671100","67.11.00","Расчеты по долгосрочным кредитам (в валюте)","asset_current","True","",""
"by_672100","67.21.00","Расчеты по долгосрочным займам (в валюте)","asset_current","True","",""
"by_673100","67.31.00","Расчеты по процентам по долгосрочным кредитам и займам (в валюте)","asset_current","True","",""
"by_680000","68.00.00","Расчеты по налогам и сборам","asset_current","False","",""
"by_680100","68.01.00","Расчеты по налогам и сборам, относимым на затраты по производству и реализации продукции, товаров, работ, услуг","asset_current","False","",""
"by_680101","68.01.01","Экологический налог","asset_current","False","",""
"by_680102","68.01.02","Земельный налог","asset_current","False","",""
"by_680103","68.01.03","Налог за размещение отходов","asset_current","False","",""
"by_680104","68.01.04","Налог на недвижимость","asset_current","False","",""
"by_680200","68.02","Расчеты по налогам и сборам, исчисляемым из выручки от реализации продукции, товаров, работ, услуг","asset_current","False","",""
"by_680201","68.02.01","Налог на добавленную стоимость","asset_current","False","",""
"by_680202","68.02.02","Местные целевые сборы","asset_current","False","",""
"by_680300","68.03.00","Расчеты по налогам и сборам, исчисляемым из прибыли (дохода)","asset_current","False","",""
"by_680301","68.03.01","Налог на прибыль","asset_current","False","",""
"by_680302","68.03.02","Налог на доходы","asset_current","False","",""
"by_680304","68.03.04","Налог на игорный бизнес","asset_current","False","",""
"by_680305","68.03.05","Транспортный налог","asset_current","False","",""
"by_680306","68.03.06","Налог на инфраструктуру","asset_current","False","",""
"by_680400","68.04.00","Расчеты по подоходному налогу","asset_current","False","",""
"by_680401","68.04.01","Подоходный налог","asset_current","False","",""
"by_680500","68.05.00","Расчеты по прочим платежам в бюджет","asset_current","False","",""
"by_680501","68.05.01","Прочие налоги и сборы","asset_current","False","",""
"by_680502","68.05.02","Инновационный фонд","asset_current","False","",""
"by_680700","68.07.00","Акцизы","asset_current","False","",""
"by_682200","68.22.00","НДС по экспорту к возмещению","asset_current","False","",""
"by_690000","69.00.00","Расчеты по социальному страхованию и обеспечению","asset_current","False","",""
"by_690100","69.01.00","Расчеты по социальному страхованию","asset_current","True","",""
"by_690200","69.02.00","Расчеты по пенсионному обеспечению (страховые взносы на обязательное пенсионное страхование)","asset_current","True","",""
"by_700000","70.00.00","Расчеты с персоналом по оплате труда","asset_current","True","",""
"by_710000","71.00.00","Расчеты с подотчетными лицами","asset_current","True","",""
"by_710100","71.01.00","Расчеты с подотчетными лицами","asset_current","True","",""
"by_711100","71.11.00","Расчеты с подотчетными лицами (в валюте)","asset_current","True","",""
"by_730000","73.00.00","Расчеты с персоналом по прочим операциям","asset_current","True","",""
"by_730100","73.01.00","Расчеты по предоставленным займам","asset_current","True","",""
"by_730200","73.02.00","Расчеты по возмещению ущерба","asset_current","False","",""
"by_730300","73.03.00","Расчеты по прочим операциям","asset_current","False","",""
"by_731100","73.11.00","Расчеты по предоставленным займам (в валюте)","asset_current","False","",""
"by_750000","75.00.00","Расчеты с учредителями","asset_current","False","",""
"by_750100","75.01.00","Расчеты по вкладам в уставный капитал","asset_current","False","",""
"by_750101","75.11.00","Расчеты по вкладам в уставный капитал","asset_current","False","",""
"by_750102","75.12.00","Расчеты по вкладам в уставный капитал (в валюте)","asset_current","False","",""
